latitude,longitude,timezone,timezone_offset,city,current_time,sunrise,sunset,temp_F,feels_like_F,humidity,dew_point,uvi,clouds,visibility,wind_speed_mph,wind_deg,wind_gust_mph,weather_id,weather_main,weather_description,alerts
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-02-18 03:02:31,2025-02-18 06:48:21,2025-02-18 17:39:38,12.61,3.96,83,8.89,0.0,100,10000,5.28,29,4.21,804,Clouds,overcast clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-02-18 04:02:31,2025-02-18 07:08:17,2025-02-18 18:21:46,54.7,53.96,87,50.92,0.0,100,10000,1.99,104,5.01,804,Clouds,overcast clouds,"Cold Weather Advisory: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures.; Extreme Cold Watch: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures."
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-02-18 11:02:31,2025-02-18 07:26:11,2025-02-18 17:48:33,32.72,24.44,69,24.64,1.46,0,10000,10.36,70,0.0,800,Clear,clear sky,"frost: There is a risk of frost (level 1 of 2).
Minimum temperature: -4 - -9 °C; near surface: > -12 °C"
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-02-18 03:02:31,2025-02-18 06:48:21,2025-02-18 17:39:38,12.61,3.96,83,8.89,0.0,100,10000,5.28,29,4.21,804,Clouds,overcast clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-02-18 04:02:31,2025-02-18 07:08:17,2025-02-18 18:21:46,54.7,53.96,87,50.92,0.0,100,10000,1.99,104,5.01,804,Clouds,overcast clouds,"Cold Weather Advisory: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures.; Extreme Cold Watch: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures."
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-02-18 11:02:31,2025-02-18 07:26:11,2025-02-18 17:48:33,32.72,24.44,69,24.64,1.46,0,10000,10.36,70,0.0,800,Clear,clear sky,"frost: There is a risk of frost (level 1 of 2).
Minimum temperature: -4 - -9 °C; near surface: > -12 °C"
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-02-18 07:55:28,2025-02-18 06:48:21,2025-02-18 17:39:38,8.37,2.23,92,6.73,0.37,80,10000,3.18,30,2.73,803,Clouds,broken clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-02-18 08:55:28,2025-02-18 07:08:17,2025-02-18 18:21:46,55.35,54.86,91,52.77,0.46,100,9656,4.61,100,0.0,701,Mist,mist,"Cold Weather Advisory: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures.; Extreme Cold Watch: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures."
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-02-18 15:55:28,2025-02-18 07:26:11,2025-02-18 17:48:33,38.16,29.88,58,25.54,0.36,0,10000,13.8,70,0.0,800,Clear,clear sky,"frost: There is a risk of frost (level 1 of 2).
Minimum temperature: -6 - -9 °C; local minimum: over snow > -11 °C"
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-02-18 03:02:31,2025-02-18 06:48:21,2025-02-18 17:39:38,12.61,3.96,83,8.89,0.0,100,10000,5.28,29,4.21,804,Clouds,overcast clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-02-18 04:02:31,2025-02-18 07:08:17,2025-02-18 18:21:46,54.7,53.96,87,50.92,0.0,100,10000,1.99,104,5.01,804,Clouds,overcast clouds,"Cold Weather Advisory: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures.; Extreme Cold Watch: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures."
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-02-18 11:02:31,2025-02-18 07:26:11,2025-02-18 17:48:33,32.72,24.44,69,24.64,1.46,0,10000,10.36,70,0.0,800,Clear,clear sky,"frost: There is a risk of frost (level 1 of 2).
Minimum temperature: -4 - -9 °C; near surface: > -12 °C"
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-02-18 07:55:28,2025-02-18 06:48:21,2025-02-18 17:39:38,8.37,2.23,92,6.73,0.37,80,10000,3.18,30,2.73,803,Clouds,broken clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-02-18 08:55:28,2025-02-18 07:08:17,2025-02-18 18:21:46,55.35,54.86,91,52.77,0.46,100,9656,4.61,100,0.0,701,Mist,mist,"Cold Weather Advisory: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures.; Extreme Cold Watch: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures."
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-02-18 15:55:28,2025-02-18 07:26:11,2025-02-18 17:48:33,38.16,29.88,58,25.54,0.36,0,10000,13.8,70,0.0,800,Clear,clear sky,"frost: There is a risk of frost (level 1 of 2).
Minimum temperature: -6 - -9 °C; local minimum: over snow > -11 °C"
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-02-18 08:08:34,2025-02-18 06:48:21,2025-02-18 17:39:38,8.98,2.93,87,6.22,0.37,80,10000,3.18,30,2.73,803,Clouds,broken clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-02-18 09:08:34,2025-02-18 07:08:17,2025-02-18 18:21:46,55.85,55.27,88,52.36,0.46,100,8047,5.75,120,0.0,701,Mist,mist,"Cold Weather Advisory: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures.; Extreme Cold Watch: * WHAT...For the Cold Weather Advisory, very cold wind chills as low
as 3 above expected. For the Extreme Cold Watch, dangerously cold
wind chills as low as 6 above possible.

* WHERE...A portion of south central Texas.

* WHEN...For the Cold Weather Advisory, from midnight tonight to
noon CST Wednesday. For the Extreme Cold Watch, from late
Wednesday night through Thursday morning.

* IMPACTS...Frostbite and hypothermia will occur if unprotected skin
is exposed to these temperatures."
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-02-18 16:08:34,2025-02-18 07:26:11,2025-02-18 17:48:33,37.65,29.64,60,25.84,0.36,0,10000,12.66,80,0.0,800,Clear,clear sky,"frost: There is a risk of frost (level 1 of 2).
Minimum temperature: -6 - -9 °C; local minimum: over snow > -11 °C"
